Attribute,Target,Rulex,LIME,SHAP
NA_R_3_n,REC_IM,0.0,0.0080132904,0.0
LET_IS_asystole,REC_IM,0.0,0.0205356017,0.0
STENOK_AN_nan,REC_IM,0.0,0.0084046663,0.0
ZSN_A_nan,REC_IM,0.0,0.0250695925,0.0
ritm_ecg_p_01_nan,REC_IM,0.0,0.0063877098,0.0
fibr_ter_03_1.0,REC_IM,0.0,0.013046518,0.0
NITR_S_nan,REC_IM,0.0,0.0007170133,0.0
TIME_B_S_3.0,REC_IM,0.0,0.0129186103,0.0
fibr_ter_02_1.0,REC_IM,0.0,0.0049346482,0.0
n_r_ecg_p_04_1.0,REC_IM,0.0,0.0204342588,0.0
O_L_POST_1.0,REC_IM,0.0,0.0279563674,0.0
INF_ANAM_3.0,REC_IM,0.0,0.0080056349,0.0
STENOK_AN_1.0,REC_IM,0.0,0.002347846,0.0
DLIT_AG_2.0,REC_IM,0.0,0.0000182927,0.0
nr_03_1.0,REC_IM,0.0,0.0121777245,0.0
R_AB_2_n_2.0,REC_IM,0.0,0.0096529727,0.0
STENOK_AN_4.0,REC_IM,0.0,0.0173516719,0.0
STENOK_AN_3.0,REC_IM,0.0,0.0217242724,0.0
